priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,malaria_deaths,scd_deaths,cases_cluster_005,cases_cluster_010,shared_mean_step4,exceed_prob_step4,shared_mean_step5,shared_sd_step5,exceed_prob_step5,hotspot080_step4,hotspot090_step4,hotspot080_step5,hotspot090_step5,robust005_step4,robust010_step4,robust005_step5,robust010_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010,rr_malaria_step4,rr_scd_step4,rr_malaria_step5,rr_scd_step5
1,HF2029,28907,14835,4585,368,74,Not significant,Not significant,8.338194019567807,1,7.165915778515545,1.5910885688757104,0.9999966622629947,1,1,1,1,0,0,0,0,4,Moderately stable,0.8263274010568535,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0021739562099815503,0.06227842346541849,0.002173897535050138,0.062282582522133964
2,HF2206,20149,13408,3698,95,26,Not significant,Not significant,8.488476320636849,1,7.388336983844775,1.568646864659966,0.9999987614557564,1,1,1,1,0,0,0,0,4,Moderately stable,0.7814225932668237,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.004044156641261904,0.10338666180475967,0.004044045363146825,0.10339489259163309
3,HF2067,42088,17764,2371,132,11,Not significant,Not significant,7.328746023264651,1,6.152704192686721,1.567877310338201,0.9999564954049402,1,1,1,1,0,0,0,0,4,Moderately stable,0.777922823187798,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0012279551021554904,0.015193626648435413,0.0012279363328987804,0.015193929148724375
4,HF1752,8639,16907,2472,104,25,Not significant,Not significant,8.959156288187401,1,7.5973755005662325,1.5061049504699477,0.9999997725106138,1,1,1,1,0,0,0,0,4,Moderately stable,0.7550322303744241,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.02773955551118738,0.3759707362279668,0.027739029533968312,0.37597677906385873
5,HF1375,16880,22896,957,111,1,Not significant,Not significant,7.3833286823031505,1,7.308026094592312,1.6089992084441056,0.9999972134510006,1,1,1,1,0,0,0,0,4,Moderately stable,0.7502673434764816,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.009839261562342893,0.03814532916055609,0.009839299392582556,0.03814329809666513
6,HF1125,37541,22309,679,100,11,Not significant,Not significant,6.243508277837911,1,5.436510276721391,1.5096113224573293,0.9998416636482483,1,1,1,1,0,0,0,0,4,Moderately stable,0.7427955272229696,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0019382702537214579,0.005473968662966699,0.0019382715837859706,0.005471417293536595
7,HF1408,14010,4879,4387,46,21,Not significant,Not significant,8.982398133354122,1,7.326053067107388,1.5298601297996868,0.9999991607063753,1,1,1,1,0,0,0,0,4,Moderately stable,0.7418999778746715,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.003044450063656597,0.2536651640124926,0.0030440421667821986,0.25369503929278053
8,HF0494,29288,9391,2603,207,32,Not significant,Not significant,7.760042042440976,1,6.972955260936298,1.5317085746387864,0.9999973481737132,1,1,1,1,0,0,0,0,4,Moderately stable,0.7247571459995431,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0013406505733447505,0.03444284848168125,0.0013406052690662813,0.034447713269413364
9,HF2566,18722,14128,1777,679,53,Not significant,Not significant,7.856403489660323,1,7.490893501689143,1.5967972431419701,0.9999986419563034,1,1,1,1,0,0,0,0,4,Moderately stable,0.7227155081030275,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.004935578023441586,0.057549717928274395,0.004935534864564653,0.057557141268953727
10,HF1831,8783,16436,1408,293,17,Not significant,Not significant,8.398144940379444,1,8.188799753017545,1.602772955641762,0.9999998381902071,1,1,1,1,0,0,0,0,4,Moderately stable,0.7216196993506231,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.026089530108286997,0.20721563588518435,0.02608946969821077,0.20723795147460258
11,HF1166,82312,11399,1041,216,5,Not significant,Not significant,5.841300663486908,1,4.801438158913242,1.5019549570856283,0.9993051754397111,1,1,1,1,0,0,0,0,4,Moderately stable,0.7200888747283235,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.060169308511727e-4,0.0017445253374169982,2.060134818574964e-4,0.001744459133696011
12,HF2124,29361,15823,629,6,4,Not significant,Not significant,6.40460043385512,1,6.464767807427959,1.5709527154694418,0.9999806569107538,1,1,1,1,0,0,0,0,4,Moderately stable,0.6986416553411431,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002247484942158417,0.008289596821358885,0.002247502994510466,0.008289204111400777
13,HF2305,2347,19599,197,46,5,Not significant,Not significant,7.83227617221122,1,8.41515836374616,1.6095826181029476,0.9999999143981736,1,1,1,1,0,0,0,0,4,Moderately stable,0.6983810973981603,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.4356586659613945,0.4079782594846083,0.4356681542231708,0.40733093009259
14,HF2490,17047,13471,1315,49,8,Not significant,Not significant,7.6570973178143245,1,7.0142582387381,1.5601975979176708,0.9999965337412622,1,1,1,1,0,0,0,0,4,Moderately stable,0.6982288069546845,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.005676283274639275,0.05137273104480556,0.005676227095951415,0.05137609707550174
15,HF2222,47543,7492,1818,37,3,Not significant,Not significant,6.916701088005859,1,5.890097864550432,1.555614350108412,0.9999235613458372,1,1,1,1,0,0,0,0,4,Moderately stable,0.6956843720874184,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.05896766941456e-4,0.009129241096851537,4.058785099087522e-4,0.00913056705216527
16,HF0304,45037,11399,1041,216,17,Not significant,Not significant,6.448369542460671,1,5.840457136305266,1.4795889182490138,0.9999604897051464,1,1,1,1,0,0,0,0,4,Moderately stable,0.6931699732862121,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.881614652490825e-4,0.005827215747739982,6.881545322300561e-4,0.0058275674651447045
17,HF3222,11456,15823,629,18,12,Not significant,Not significant,7.35046931404663,1,7.596654448157485,1.5910372843105771,0.9999990999229582,1,1,1,1,0,0,0,0,4,Moderately stable,0.6902595296754325,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.014762927669483804,0.05444901059063632,0.01476307469125101,0.0544513610988974
18,HF3085,84598,10855,217,88,7,Not significant,Not significant,4.2950082956602,0.9999999999999973,4.390881147360072,1.557775554729622,0.9975889716164473,1,1,1,1,0,0,0,0,4,Moderately stable,0.6880819417560805,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.857178682436183e-4,3.4548376607852836e-4,1.85722080861657e-4,3.4512836354616495e-4
19,HF3019,45503,11157,727,49,19,Not significant,Not significant,6.090891214481449,1,6.048352834416236,1.547025034452012,0.9999537882926807,1,1,1,1,0,0,0,0,4,Moderately stable,0.683272826766242,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.598209873955283e-4,0.003987824475956151,6.598230249577945e-4,0.003988331750189883
20,HF2330,22447,11399,1041,216,2,Not significant,Not significant,7.1485555096726605,1,6.888322265216722,1.5922491924850062,0.9999924133845135,1,1,1,1,0,0,0,0,4,Moderately stable,0.6798026210725565,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0027702098851299034,0.02345720983894449,0.002770196291070478,0.023460669258447222
21,HF1785,39520,13988,328,187,11,Not significant,Not significant,5.469724419532955,1,4.983533649864121,1.540694933963445,0.9993909362392471,1,1,1,1,0,0,0,0,4,Moderately stable,0.675157578372606,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0010966475544600279,0.0023892712846828507,0.0010966568926119753,0.002386927296559217
