ID,name,2020_scd,2021_scd,2022_scd,2023_scd,2024_scd
HF0002,Buikwe St. Charles Lwanga HOSPITAL,80,93,156,220,171
HF0007,Kawolo HOSPITAL,133,117,157,175,129
HF0008,Lugazi Scoul HOSPITAL,1,2,1,7,15
HF0019,Nkokonjeru  HOSPITAL,2,7,0,1,5
HF0022,St. Francis Nyenga HOSPITAL,24,24,29,72,50
HF0039,Butenga HC IV,0,0,0,0,0
HF0052,Gombe HOSPITAL,5,7,22,40,26
HF0083,Maddu HC IV,0,0,0,0,0
HF0092,Bukulula HC IV,0,0,0,0,0
HF0093,Villa Maria HOSPITAL,40,68,82,103,76
HF0103,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,0,0,0,0,0
HF0118,Kololo HOSPITAL,133,117,157,175,129
HF0202,International Hospital Kampala (IHK),9,0,0,0,0
HF0203,Kibuli HOSPITAL,7,6,1,2,1
HF0204,St. Francis Nsambya HOSPITAL,89,85,159,171,97
HF0216,Kiruddu,149,283,499,573,687
HF0252,Kadic HOSPITAL,68,0,106,98,1
HF0253,Murchison Bay  HOSPITAL,0,0,0,0,0
HF0262,Benedict Medical centre  HC IV,0,0,1,1,0
HF0263,Butabika NATIONAL REFERAL HOSPITAL,55,71,102,144,1
HF0264,Naguru  Hospital  - China Uganda Friendship,0,0,0,0,0
HF0281,Lubaga HOSPITAL,67,51,86,105,74
HF0282,Mengo HOSPITAL,184,59,117,168,196
HF0283,Namungoona Orthodox Hospital HC III,0,0,0,0,0
HF0290,Bbaale HC IV,0,0,0,0,0
HF0298,Kangulumira HC IV,0,0,11,7,53
HF0304,Kayunga Hospital,111,96,255,280,299
HF0316,Bukomero HC IV,0,0,0,0,0
HF0327,Kiboga HOSPITAL,49,0,6,9,1
HF0354,Ntwetwe HC IV,0,0,0,0,0
HF0362,Bombo General Military HOSPITAL,18,12,11,27,80
HF0376,Kalagala HC IV,0,0,0,0,0
HF0401,Luwero HC IV,0,0,0,0,0
HF0402,Bishop Asili Ceaser HC IV,0,0,0,0,0
HF0411,Nyimbwa HC IV,0,0,0,0,0
HF0429,Kiwangala HC IV,0,0,0,0,0
HF0438,Kyazanga HC IV,0,0,0,0,0
HF0446,Lwengo HC IV,0,0,0,0,0
HF0465,Lyantonde HOSPITAL,1,23,1,11,29
HF0494,Masaka REGIONAL REF HOSPITAL,31,347,693,814,718
HF0499,Kyannamukaaka HC IV,0,0,0,0,0
HF0505,Kiyumba HC IV,0,0,0,0,0
HF0506,St. Joseph Kitovu HOSPITAL,73,71,57,106,127
HF0537,Mwera HC IV,0,0,0,0,0
HF0540,Kyantungo HC IV,0,0,0,0,0
HF0550,Mityana HOSPITAL,111,0,1,56,58
HF0560,Ssekanyonyi HC IV,0,0,0,0,0
HF0583,Mpigi   HC IV,0,0,0,0,0
HF0588,Nkozi HOSPITAL,15,14,31,40,57
HF0608,Kassanda HC IV,0,0,0,0,0
HF0615,Kiganda HC IV,0,0,0,0,0
HF0650,Mubende RR HOSPITAL,0,0,0,0,0
HF0678,Mukono  T.C. HC IV,0,0,0,0,0
HF0680,St. Francis HOSPITAL Naggalama,287,292,407,486,549
HF0698,Kojja HC IV,0,0,0,0,0
HF0715,Kiwoko HOSPITAL,133,117,157,175,129
HF0718,Nakaseke HOSPITAL,23,35,41,36,38
HF0720,Ngoma HC IV,0,0,0,0,0
HF0724,Semuto HC IV,0,0,0,0,0
HF0732,St. Franciscan HC IV,0,0,0,0,0
HF0741,Nakasongola Military HOSPITAL,1,3,1,4,4
HF0752,Nakasongola HC IV,68,38,40,35,123
HF0773,Kakuuto HC IV,0,0,0,0,0
HF0777,Kalisizo HOSPITAL,27,23,22,27,50
HF0854,Bamu  HOSPITAL,0,0,0,53,33
HF0859,Ntuusi HC IV,0,0,0,0,0
HF0860,Ssembabule HC IV,0,0,0,0,0
HF0873,Buwambo HC IV,0,0,0,0,0
HF0883,Luwunga Barracks HC IV,0,2,0,4,3
HF0887,Kisubi HOSPITAL,27,23,22,27,50
HF0889,Uganda Martyrs HOSPITAL,0,0,1,0,1
HF0919,Namayumba HC IV,0,0,0,0,0
HF0921,Saidina Abubakar Islamic HOSPITAL,0,0,7,5,2
HF0926,Kasangati HC IV,0,0,0,0,0
HF0940,Mildmay Uganda HOSPITAL,3,3,9,12,4
HF0948,Ndejje HC IV,0,0,0,0,0
HF0957,Wakiso HC IV,0,0,0,0,0
HF0966,Amuria HC IV,0,0,0,0,0
HF0975,Kapelebyong HC IV,21,22,45,58,46
HF0998,Budaka HC IV,0,0,0,0,0
HF1015,Bududa HOSPITAL,36,35,49,53,33
HF1032,Bugiri HOSPITAL,60,87,116,129,159
HF1063,Nankoma HC IV,0,0,0,0,0
HF1065,Bukedea HC IV,0,0,0,0,0
HF1092,Muyembe HC IV,0,0,0,0,0
HF1113,Dabani HOSPITAL,112,68,115,154,107
HF1125,Busolwe HOSPITAL,89,134,140,139,177
HF1130,Kabasa Memorial HOSPITAL,0,1,2,4,4
HF1147,Kidera HC IV,0,0,0,0,0
HF1165,Busesa HC IV,0,0,0,0,0
HF1166,Iganga HOSPITAL,111,96,255,280,299
HF1180,Bugono HC IV,0,0,0,0,0
HF1207,Budondo HC IV,0,0,0,0,0
HF1209,Bugembe HC IV,0,0,0,0,0
HF1234,Buwenge NGO Hospital,21,3,26,7,21
HF1246,Walukuba HC IV,0,0,0,0,0
HF1249,Mpumudde HC IV,0,0,0,0,0
HF1250,Kakira Worker's HOSPITAL,8,10,18,15,3
HF1269,Kaberamaido HC IV,0,0,0,0,0
HF1276,Lwala HOSPITAL,118,140,192,243,171
HF1281,Bumanya HC IV,0,0,0,0,0
HF1312,Kamuli HOSPITAL,7,6,1,2,1
HF1313,Kamuli Mission Hospital,14,22,37,45,72
HF1322,Nankandulo HC IV,0,0,0,0,0
HF1340,Namwendwa HC IV,0,0,0,0,0
HF1354,Kapchorwa HOSPITAL,4,9,9,8,9
HF1375,Katakwi General Hospital,151,136,221,287,162
HF1390,Toroma HC IV,0,0,0,0,0
HF1405,Kibuku HC IV,0,0,0,0,0
HF1408,Atutur HOSPITAL,883,1029,987,654,834
HF1419,Kumi HC IV,0,0,0,0,0
HF1421,Kadami HOSPITAL,0,0,0,154,1
HF1431,Kumi NGO HOSPITAL,35,12,6,20,19
HF1438,Kaproron HC IV,0,0,0,0,0
HF1475,Kiyunga HC IV,0,0,0,0,0
HF1483,Bugobero HC IV,0,0,0,0,0
HF1492,Bubulo HC IV,0,0,0,0,0
HF1515,Kigandalo HC IV,0,0,0,0,0
HF1524,Bufumbo HC IV,0,0,0,0,0
HF1530,Busiu HC IV,0,0,0,0,0
HF1532,Cure Children's Hospital,0,0,0,5,0
HF1533,Namatala HC IV,0,0,0,0,0
HF1547,Buyinja  HC IV,0,0,0,0,0
HF1583,Nsinze HC IV,0,0,0,0,0
HF1591,Ngora Ngo HOSPITAL,21,3,255,7,21
HF1595,Ngora Gvt HC IV,0,0,0,0,0
HF1600,Butebo HC IV,0,0,0,0,0
HF1609,Kanginima HOSPITAL,111,96,255,280,299
HF1617,Pallisa HOSPITAL,118,15,32,243,171
HF1629,Apapai HC IV,0,0,0,0,0
HF1643,Serere HC IV,0,0,0,0,0
HF1647,Budadiri HC IV,0,0,0,0,0
HF1667,Buwasa HC IV,0,0,0,0,0
HF1688,ATIRIR HC IV,0,0,0,0,0
HF1697,Princes Diana HC IV,1,1,3,20,42
HF1698,Soroti REGIONAL REF HOSPITAL,343,365,111,174,174
HF1722,Mukuju HC IV,0,0,0,0,0
HF1726,Mulanda HC IV,0,0,0,0,0
HF1734,Nagongera HC IV,0,0,0,0,0
HF1747,Rubongi Military HOSPITAL,1,3,24,24,5
HF1751,Benedictine Eye HOSPITAL,0,0,0,0,0
HF1752,Tororo General HOSPITAL,223,393,686,644,526
HF1754,St. Anthony'S Tororo HOSPITAL,47,71,84,27,32
HF1769,Abim HOSPITAL,112,68,115,154,107
HF1785,Adjumani   HOSPITAL,42,82,66,80,58
HF1805,Mungula HC IV,0,0,0,0,0
HF1831,Kalongo Ambrosoli Memorial HOSPITAL,269,210,339,306,284
HF1856,Patongo HC III,0,0,0,0,0
HF1868,Alebtong HC IV,0,0,0,0,0
HF1882,Amolatar HC IV,0,0,0,0,0
HF1903,Atiak HC IV,0,0,0,0,0
HF1927,Aduku HC IV,0,0,0,0,0
HF1934,Apac HOSPITAL,111,15,32,280,299
HF1965,Arua REGIONAL REF HOSPITAL,135,136,178,169,184
HF1970,Oriajini HOSPITAL,112,68,115,154,107
HF1994,Omugo HC IV,0,0,0,0,0
HF1999,Rhino Camp HC IV,0,0,0,0,0
HF2009,Kuluva HOSPITAL,7,10,11,10,12
HF2019,Dokolo HC IV,0,0,0,0,0
HF2027,Awach HC IV,0,0,0,0,0
HF2028,Gulu  Military Hospital,1,1,9,12,16
HF2029,St. Mary's Hospital Lacor,861,711,1160,956,897
HF2057,Lalogi HC IV,0,0,0,0,0
HF2067,Gulu Regional Referal Hospital,554,587,599,459,172
HF2099,Kaabong HOSPITAL,68,71,106,98,44
HF2108,Karenga HC IV,0,0,0,0,0
HF2124,Kitgum HOSPITAL,82,98,155,190,104
HF2140,Naam Okora HC IV,0,0,0,0,0
HF2145,Koboko Hospital,133,117,157,175,129
HF2152,Aboke HC IV,0,0,0,0,0
HF2167,Kotido HC IV,0,0,0,0,0
HF2186,Madi-Opei HC IV,0,0,0,0,0
HF2190,Padibe HC IV,0,0,0,0,0
HF2205,Ayira Health Services,0,0,0,0,0
HF2206,Lira REGIONAL REF HOSPITAL,586,596,919,989,608
HF2211,Amach HC IV,0,0,0,0,0
HF2222,PAG Mission HC IV,291,358,311,453,405
HF2228,Ogur HC IV,0,0,0,0,0
HF2249,Obongi HC IV,0,0,0,0,0
HF2278,Moyo HOSPITAL,184,59,117,168,196
HF2280,Tokora HC IV,0,0,0,0,0
HF2292,Nabilatuk HC IV,0,0,0,0,0
HF2305,Matany HOSPITAL,20,21,50,42,64
HF2329,Nebbi Hospital,121,160,69,106,124
HF2330,Angal St. Luke HOSPITAL,111,96,255,280,299
HF2353,Anaka HOSPITAL,111,96,255,280,299
HF2375,Orum HC IV,0,0,0,0,0
HF2376,Aber Ngo HOSPITAL,184,59,117,168,196
HF2400,Anyeke HC IV,0,0,0,0,0
HF2410,5Th  Military Division HOSPITAL,0,0,0,0,0
HF2428,Pajule HC IV,0,0,0,0,0
HF2445,Yumbe Hospital,184,59,117,168,196
HF2448,Midigo HC IV,0,0,0,0,0
HF2457,Nyapea HOSPITAL,111,15,32,56,58
HF2475,Nsiika HC IV,0,0,0,0,0
HF2481,Buliisa Hospital,36,35,49,53,33
HF2490,Bundibugyo Hospital,268,244,283,333,187
HF2494,Busaru HC IV,0,0,0,0,0
HF2501,Kikyo HC IV,0,0,0,0,0
HF2508,Bushenyi HC IV,0,0,0,0,0
HF2512,Kiu Teaching HOSPITAL,7,6,14,9,7
HF2513,Ishaka Adventist HOSPITAL,3,3,2,4,4
HF2521,Kyabugimbi HC IV,0,0,0,0,0
HF2522,Comboni HOSPITAL,5,7,22,40,26
HF2528,Hunter Foundation HC,0,0,0,0,0
HF2565,Azur HC III,0,0,0,0,0
HF2566,Hoima REGIONAL REF HOSPITAL,300,215,490,409,363
HF2570,Kigorobya HC IV,0,0,0,0,0
HF2578,Kikuube HC IV,0,0,0,0,0
HF2586,Kyangwali HC IV,0,0,0,0,0
HF2594,Ibanda HOSPITAL,111,0,6,9,11
HF2601,Ishongororo HC IV,0,0,0,0,1
HF2622,Ruhoko HC IV,0,0,0,0,0
HF2652,Kabuyanda HC IV,0,0,0,0,0
HF2673,Nyamuyanja HC IV,0,0,0,0,0
HF2677,Rugaaga HC IV,0,0,0,0,0
HF2695,Hamurwa HC IV,0,0,0,0,0
HF2705,Kabale REGIONAL REF HOSPITAL,3,14,6,2,9
HF2708,Rugarama HOSPITAL,0,17,1,0,1
HF2734,Muko HC IV,0,0,0,0,0
HF2749,Mparo HC IV,0,0,0,0,0
HF2753,Bukuku HC IV,0,0,0,0,0
HF2761,Kataraka HC IV,0,0,0,0,0
HF2778,Kibiito HC IV,0,0,0,0,0
HF2791,Kida HOSPITAL,15,0,6,9,1
HF2801,Virika HOSPITAL,20,39,41,38,41
HF2806,Fort Portal Regional Referral Hospital,116,155,243,340,346
HF2819,Rukunyu HC IV,0,0,0,0,0
HF2830,Ntara HC IV,0,0,0,0,0
HF2836,Kambuga HOSPITAL,0,0,0,98,44
HF2837,Bwindi Community HOSPITAL,5,1,6,11,7
HF2843,Kanungu HC IV,0,0,0,0,0
HF2874,Kilembe HOSPITAL,35,34,17,5,9
HF2879,Hiima Iaa (Uci) HC IV,0,0,0,0,0
HF2886,St. Paul HC IV,0,0,0,0,0
HF2891,Kagando HOSPITAL,68,71,106,98,44
HF2900,Rwesande HC IV,0,0,0,0,0
HF2916,Nyamirami HC IV,0,0,0,0,0
HF2927,Kagadi HOSPITAL,68,71,106,98,44
HF2931,Kakindo HC IV,0,0,0,0,0
HF2932,Kakumiro HC IV,0,0,0,0,0
HF2937,Kibaale HC IV (Kibaale),0,0,0,0,0
HF2983,Kazo HC IV,0,0,0,0,0
HF2984,Rushere Community HOSPITAL,0,0,0,3,1
HF2991,Kiruhura HC IV,0,0,0,0,0
HF3019,Kiryandongo HOSPITAL,128,134,134,120,211
HF3033,Rubuguri HC IV,0,0,0,0,0
HF3034,Kisoro HOSPITAL,133,117,157,175,129
HF3036,Mutolere (St. Francis) HOSPITAL,0,0,0,0,0
HF3047,Kyegegwa HC IV,0,0,0,0,0
HF3083,Kyarusozi HC IV,0,0,0,0,0
HF3085,Kyenjojo Hospital,26,11,38,70,72
HF3103,Bwijanga HC IV,0,0,0,0,0
HF3109,Masindi HOSPITAL,123,101,178,144,115
HF3118,Masindi Military/Army Barracks HC IV,0,0,0,0,0
HF3137,Bugamba HC IV,0,0,0,0,0
HF3141,Mbarara Community HOSPITAL,46,46,115,109,108
HF3145,UPDF 2nd Div.Hospital,0,0,0,0,0
HF3146,Mayanja Memorial HOSPITAL,0,1,2,1,4
HF3149,Ruharo Mission HOSPITAL,291,2,1,1,0
HF3153,Mbarara Municipal Council HC IV,0,0,0,0,0
HF3171,Holy Innocents Children's HOSPITAL,19,16,18,33,15
HF3186,Kinoni HC IV,0,0,0,0,0
HF3188,Bwizibwera HC IV,0,0,0,0,0
HF3207,Mitooma HC IV,0,0,0,0,0
HF3214,Karugutu HC IV,0,0,0,0,0
HF3222,Itojo HOSPITAL,82,98,155,190,104
HF3226,Ntungamo HC IV,0,0,0,0,0
HF3236,Rwashamaire HC IV,0,1,0,0,1
HF3241,Rubaare HC IV,0,0,0,0,0
HF3255,Rugazi HC IV,0,0,0,0,0
HF3264,Bugangari HC IV,0,0,0,0,0
HF3271,Buhunga HC IV,0,0,0,0,0
HF3291,Kebisoni HC IV,0,0,0,0,0
HF3308,Kisiizi NGO HOSPITAL,0,0,6,1,2
HF3330,North Kigezi HC IV,0,0,0,0,0
HF3331,St. Karolii Lwanga Nyakibale HOSPITAL,2,0,1,0,1
HF3339,Kabwohe HC IV,0,0,0,0,0
HF3353,Kitagata HOSPITAL,1,3,0,1,0
HF3362,Shuuku HC IV,0,0,0,0,0
